종목명,연도,수익률,종합등급,환경,사회,지배구조,KOSPI,ROA,ROE
동아쏘시오홀딩스,2011,-15.3636192446308,B,B+,B,B,1984.5420603887271,7.151886242756049,12.383544460108684
동아쏘시오홀딩스,2012,-8.012470239832837,B+,B+,B,B+,1930.3727023216986,4.345785216745961,8.497397528084818
동아쏘시오홀딩스,2013,84.15357103315849,B,B+,B,B,1960.4997163224316,2.171982050593706,4.171215994141202
동아쏘시오홀딩스,2014,3.1186485942498177,B,B,B,B,1982.1581239038585,0.599898992274697,1.2133931926522563
동아쏘시오홀딩스,2015,23.38713700050285,B,B,B,B,2011.8487494684034,5.444536534360147,11.053816499547048
동아쏘시오홀딩스,2016,15.111551555286097,B,B,B,B,1987.0032527272294,12.529487553265978,20.05924873280108
동아쏘시오홀딩스,2017,-26.936686656623557,B,C,B,B,2310.368424918147,2.2298463103354087,3.559577986722376
동아쏘시오홀딩스,2018,-13.55679560308667,B,C,B+,B,2325.0094329333697,-13.196326498501168,-22.274768429875248
동아쏘시오홀딩스,2019,-14.170734412989884,B+,C,B+,A,2106.053582416317,1.47030372486019,2.674401397675209
동아쏘시오홀딩스,2020,4.6689551396595474,B+,C,A,A,2220.068017282794,10.744577539653786,18.269120570275767
동아쏘시오홀딩스,2021,14.103533819558468,A,B+,A+,A,3111.2176543205014,3.577634689831565,6.143066328634216
동아에스티,2013,,,,,,1960.4997163224316,-7.052404756069746,-14.955496358042634
동아에스티,2014,-19.965643539006017,,,,,1982.1581239038585,3.470863216424441,7.689328100120979
동아에스티,2015,20.17871349325222,B,B+,B,B,2011.8487494684034,4.567140370098933,8.771333546656344
동아에스티,2016,1.5591093684621748,B,B+,B+,B,1987.0032527272294,0.9977317485806872,1.8061073115443345
동아에스티,2017,-27.433215723826557,B,B,B,B,2310.368424918147,-0.5996910911196692,-0.9283554284595464
동아에스티,2018,11.688433570982191,B,B,A,B,2325.0094329333697,0.8442069281795573,1.3823393820611638
동아에스티,2019,-4.392718214333502,B+,B,A,B+,2106.053582416317,7.029581471413585,10.979620003492546
동아에스티,2020,-7.820344323992434,B+,D,B+,A,2220.068017282794,2.763725026086288,4.221006880156156
동아에스티,2021,-10.354109289909708,A,B+,A+,A,3111.2176543205014,1.1484153366708052,1.9525528147212985
동아지질,2011,-16.723651842054267,B,B,B,B,1984.5420603887271,8.793233088477688,14.102940887874816
동아지질,2012,-21.09733569483328,B,B,B,B,1930.3727023216986,3.025411781065772,5.122262404583547
동아지질,2013,-0.818566655106534,B,B,B,B,1960.4997163224316,0.9266500140768054,1.571244532714194
동아지질,2014,-16.10005175239666,B,B,B,B,1982.1581239038585,1.8069172417118264,3.0983423014091698
동아지질,2015,-1.6695003587168356,B,C,B,B,2011.8487494684034,1.7353238504203143,3.253173635287924
동아지질,2016,4.958562155214596,B,B,B,B,1987.0032527272294,3.804069861950856,7.60837058231552
동아지질,2017,41.8148267432497,B,B,B,B,2310.368424918147,6.639120506653537,10.94801634304168
동아지질,2018,32.04010694159183,B,B,B,B,2325.0094329333697,6.575773155387843,10.714814552281222
동아지질,2019,25.49462567963843,C,C,B,B,2106.053582416317,5.908874420573638,9.821935751474117
동아지질,2020,-23.29286071505317,C,C,C,C,2220.068017282794,0.6099090032550444,1.0662355582928056
동아지질,2021,22.8948223218346,C,D,D,B,3111.2176543205014,1.3365098535301747,2.2940367180274737
동양,2011,-29.84162463840797,B,B,B,E,1984.5420603887271,-3.6783270039856175,-37.788687120134185
동양,2012,-48.35911476875321,B,B,B,B,1930.3727023216986,-2.7591352897529777,-40.00051315412586
동양,2013,8.604453015154846,B,B,B,B,1960.4997163224316,-60.0510916364567,140.2558255187091
동양,2014,-76.85363517074369,,,,,1982.1581239038585,76.10581340188835,168.55953418414086
동양,2015,71.51038484528729,,,,,2011.8487494684034,51.2825621510722,63.2602048041542
동양,2016,59.37750319112065,,,,,1987.0032527272294,2.4342579364792387,2.8349582765524897
동양,2017,-26.97403110801965,B,B,B,B,2310.368424918147,1.6095910372619795,1.852885185110153
동양,2018,-16.008124414287515,B,B,B,B,2325.0094329333697,0.3208023930345979,0.3759684095070612
동양,2019,-11.706744015771363,C,C,D,C,2106.053582416317,-0.2224337272401439,-0.2762679597133747
동양,2020,-29.91360485495902,C,C,C,B,2220.068017282794,-2.9003925571222555,-3.7083719441059175
동양,2021,30.76722956183564,C,C,C,B+,3111.2176543205014,1.1165642700827652,1.434503349620631
동양고속,2011,-29.142184213817025,B,B,B,E,1984.5420603887271,7.75146558908513,16.896029237404242
동양고속,2012,14.261765049588403,B,B,B,B,1930.3727023216986,-0.9213732031568952,-1.7225524530104988
동양고속,2013,20.512387016980348,B,B,B,B,1960.4997163224316,3.1666405765573447,5.912434563489423
동양고속,2014,7.9459558466915325,B,B,B,B,1982.1581239038585,5.214471325314891,9.438133917384109
동양고속,2015,48.25209841756624,B,C,B,B,2011.8487494684034,6.568465939922204,12.014682644301496
동양고속,2016,-5.522564283090492,B,B,B,B,1987.0032527272294,2.9369581642197766,5.524045530225124
동양고속,2017,6.521115227029095,B,C,B,B,2310.368424918147,-0.8365299445881537,-1.4368375888045914
동양고속,2018,-11.280541164747692,B,B,B,B,2325.0094329333697,0.6965884502120905,1.2113435071695842
동양고속,2019,5.567498757091061,B,C,B,B+,2106.053582416317,17.52652225446198,24.768494366322336
동양고속,2020,-2.3199472151332,B,C,B,B+,2220.068017282794,-9.775309873827387,-15.330929389899609
동양고속,2021,-13.76273409382054,B,C,C,B+,3111.2176543205014,-14.182129999364705,-28.330794712840035
동양생명,2011,2.6726459652296253,B,B+,B,E,1984.5420603887271, , 
동양생명,2012,-13.04907259550424,B,B+,B,B,1930.3727023216986, , 
동양생명,2013,-6.226577862754179,B,B+,B,B,1960.4997163224316, , 
동양생명,2014,-0.3353873257099571,B,B+,B,B,1982.1581239038585, , 
동양생명,2015,24.15072933985149,B+,A,B+,B,2011.8487494684034, , 
동양생명,2016,-13.860311026259476,B+,A+,B,B,1987.0032527272294, , 
동양생명,2017,-15.795845070529746,B,B+,B,B,2310.368424918147, , 
동양생명,2018,-27.59740913649611,B,B+,B+,B,2325.0094329333697, , 
동양생명,2019,-39.18467570159103,B,D,B+,B,2106.053582416317, , 
동양생명,2020,-25.076731859691105,B,D,B+,B+,2220.068017282794, , 
동양생명,2021,74.74002887508031,B+,C,A,B+,3111.2176543205014, , 
