year,수익률,종목명
2022,-35.18398939658319,LG생활건강
2010,,LG유플러스
2011,-21.863876508046786,LG유플러스
2012,8.666096579811612,LG유플러스
2013,63.57324565287827,LG유플러스
2014,-2.7986981429166002,LG유플러스
2015,4.630494561545073,LG유플러스
2016,0.8454278218903211,LG유플러스
2017,27.452496302549932,LG유플러스
2018,4.313132172085843,LG유플러스
2019,-2.1015103616647823,LG유플러스
2020,-14.453697893484907,LG유플러스
2021,12.64671169103666,LG유플러스
2022,-2.907926840632191,LG유플러스
2010,,LG이노텍
2011,-29.44774618028384,LG이노텍
2012,-9.339853509213214,LG이노텍
2013,-1.0871888594370605,LG이노텍
2014,32.82545125054275,LG이노텍
2015,-12.73884337308655,LG이노텍
2016,-16.069170194422856,LG이노텍
2017,75.12786643029148,LG이노텍
2018,-9.676943415878192,LG이노텍
2019,-15.397956297111016,LG이노텍
2020,36.64142735240166,LG이노텍
2021,48.92985813404036,LG이노텍
2022,55.61825080260723,LG이노텍
2010,,LG전자
2011,-16.935543605205183,LG전자
2012,-14.928251496618817,LG전자
2013,1.2156217549123438,LG전자
2014,-8.472862424176707,LG전자
2015,-22.526523166874814,LG전자
2016,2.7989088689764907,LG전자
2017,41.85411008038595,LG전자
2018,11.889952347456845,LG전자
2019,-18.111331944933127,LG전자
2020,4.346459991621288,LG전자
2021,99.70709808108182,LG전자
2022,-13.316427935028441,LG전자
2010,,LG화학
2011,36.62086442417676,LG화학
2012,-20.191389913899137,LG화학
2013,-13.168685650271527,LG화학
2014,-11.407514717439415,LG화학
2015,2.5353105819235555,LG화학
2016,5.293128346581377,LG화학
2017,20.22985524872418,LG화학
2018,11.423029454037948,LG화학
2019,-6.833058542510207,LG화학
2020,55.5780383825826,LG화학
2021,57.76246980029971,LG화학
2022,-27.47940596401276,LG화학
2015,,LIG넥스원
2016,-0.9112563539197871,LIG넥스원
2017,-22.126574191166405,LIG넥스원
2018,-44.28338289994757,LIG넥스원
2019,-17.042466320948822,LIG넥스원
2020,-14.816154528637115,LIG넥스원
2021,54.67171109200344,LIG넥스원
2022,48.22324474407487,LIG넥스원
2010,,LS
2011,-2.5458980069956394,LS
2012,-11.613532318574716,LS
2013,-9.048931228595036,LS
2014,-9.388713488884083,LS
2015,-38.10678483875155,LS
2016,19.711671718515355,LS
2017,37.497134633324336,LS
2018,-3.3312969975130113,LS
2019,-29.860129475899598,LS
2020,-7.541709561253473,LS
2021,46.36700327729075,LS
2022,-22.716018865299283,LS
2010,,LS네트웍스
2011,-31.317544097231586,LS네트웍스
2012,-10.276560254465682,LS네트웍스
2013,0.6026573717581085,LS네트웍스
2014,0.15738170232113546,LS네트웍스
2015,-10.565250836058738,LS네트웍스
2016,-19.626981886727457,LS네트웍스
2017,-7.4795656184236226,LS네트웍스
2018,-0.0006478473707272059,LS네트웍스
2019,-7.364641631233804,LS네트웍스
2020,-24.258034530682426,LS네트웍스
2021,57.82271839346211,LS네트웍스
2022,2.0208377916808296,LS네트웍스
2016,,LS전선아시아
2017,11.571565534604966,LS전선아시아
2018,-0.06660010709419462,LS전선아시아
2019,9.123205528822552,LS전선아시아
2020,1.2840602109556842,LS전선아시아
2021,14.080360812717307,LS전선아시아
2022,-6.906124446020689,LS전선아시아
2010,,MH에탄올
2011,-31.895206021878785,MH에탄올
2012,18.43829293117536,MH에탄올
2013,0.410934677807151,MH에탄올
2014,92.74911722047456,MH에탄올
