,종목명,연도,누적수익률,종합등급,환경,사회,지배구조,코스피누적수익률,ROA,ROE,tobinQ
5230,코리아써키트,2018,-18.52136820365098,3.0,2.0,4.0,4.0,17.010851881707566,-5.5677244829661845,-7.186065044242454,0.4360712140962963
5231,코리아써키트,2019,-56.17957917512779,2.0,3.0,3.0,2.0,-8.843387933206737,0.4429495933666335,0.5430268885271461,0.4207464123597041
5232,코리아써키트,2020,48.793396252242125,2.0,4.0,3.0,2.0,-4.513590962862269,-1.2775550287078357,-2.079273774168777,0.4833831732014726
5233,코리아써키트,2021,135.59664926025664,3.0,4.0,2.0,4.0,47.72737409420227,6.781354745731122,11.073191225049683,0.599245806466944
5234,코리안리,2011,24.2344002092326,3.0,5.0,3.0,,np.NAN,,,
5235,코리안리,2012,15.026987784906344,3.0,4.0,3.0,3.0,-2.7295646259277606,,,
5236,코리안리,2013,-12.458983123898747,4.0,5.0,3.0,3.0,-1.211480701073464,,,
5237,코리안리,2014,-8.672244490412096,3.0,5.0,3.0,3.0,2.682664416041347,,,
5238,코리안리,2015,10.260164310759468,3.0,5.0,3.0,3.0,2.619180850599334,,,
5239,코리안리,2016,15.356376421531891,3.0,6.0,3.0,3.0,0.2444370489387726,,,
5240,코리안리,2017,-6.784774503013324,4.0,5.0,3.0,3.0,14.838077441389274,,,
5241,코리안리,2018,-13.3247512219436,4.0,5.0,3.0,3.0,17.010851881707566,,,
5242,코리안리,2019,-25.69873039052448,3.0,1.0,3.0,4.0,-8.843387933206737,,,
5243,코리안리,2020,-28.08200630203216,3.0,1.0,3.0,4.0,-4.513590962862269,,,
5244,코리안리,2021,6.318379000541174,4.0,3.0,4.0,5.0,47.72737409420227,,,
5245,코스맥스,2014,np.NAN,,,,,2.682664416041347,4.837810684684095,19.56533147442877,11.787707086245618
5246,코스맥스,2015,74.54279795954326,,,,,2.619180850599334,4.302619224744912,19.566544915527075,17.00105422680342
5247,코스맥스,2016,47.14738729318204,3.0,3.0,3.0,3.0,0.2444370489387726,4.7213211933782215,15.16538969910993,6.088362387379129
5248,코스맥스,2017,-25.68926301474897,3.0,3.0,3.0,3.0,14.838077441389274,1.66165231936211,6.795555416691731,5.318104793464734
5249,코스맥스,2018,0.1660882205384295,3.0,3.0,3.0,3.0,17.010851881707566,1.984151833947443,8.709081309364839,6.0954291392113324
5250,코스맥스,2019,-15.594874001670068,3.0,3.0,3.0,3.0,-8.843387933206737,1.5211205487425137,5.788709777324643,3.2776671499330927
5251,코스맥스,2020,-35.582201709855134,4.0,4.0,4.0,3.0,-4.513590962862269,-2.443425840479977,-10.685314122741476,3.35075384292822
5252,코스맥스,2021,11.717802776220942,5.0,5.0,5.0,4.0,47.72737409420227,2.431884842807955,7.378087712017423,2.720601223943102
5253,코스맥스비티아이,2011,88.23185420349868,3.0,3.0,3.0,3.0,np.NAN,5.062471864364723,16.51832330658206,2.976644667191438
5254,코스맥스비티아이,2012,307.587123055185,3.0,3.0,3.0,3.0,-2.7295646259277606,4.749553802881776,14.350257050178069,5.319614973134319
5255,코스맥스비티아이,2013,258.84755137021136,3.0,3.0,3.0,3.0,-1.211480701073464,7.907701959438245,23.8002610147482,6.391094379769217
5256,코스맥스비티아이,2014,111.20307875398176,3.0,3.0,3.0,3.0,2.682664416041347,3.91815322751148,5.766707347152581,1.7843617633751192
5257,코스맥스비티아이,2015,84.50992608861397,3.0,3.0,3.0,3.0,2.619180850599334,1.8931036381790576,3.168028875416024,2.0408065255247525
5258,코스맥스비티아이,2016,11.301678353761568,3.0,3.0,3.0,3.0,0.2444370489387726,3.652560950626973,7.067118737623335,1.385915425562512
5259,코스맥스비티아이,2017,-53.06000127052559,3.0,3.0,3.0,3.0,14.838077441389274,0.7895520179576638,1.7019149205319932,0.8390932923920514
5260,코스맥스비티아이,2018,-41.46895209169272,3.0,3.0,3.0,3.0,17.010851881707566,1.427505174557788,3.4901913998812875,0.7736926659853113
5261,코스맥스비티아이,2019,-43.40842614775355,3.0,2.0,3.0,4.0,-8.843387933206737,-1.557567090258293,-3.905910380475516,0.4818192531118499
5262,코스맥스비티아이,2020,-44.499836796442885,3.0,3.0,3.0,3.0,-4.513590962862269,-1.948192684879292,-5.169405313915632,0.4633513102794337
5263,코스맥스비티아이,2021,-4.769231691773934,4.0,5.0,5.0,4.0,47.72737409420227,0.4549441082469834,1.2703231152762209,0.477753199645981
5264,코스모신소재,2011,42.33773787448478,3.0,3.0,3.0,,np.NAN,,,inf
5265,코스모신소재,2012,14.366454200307444,3.0,3.0,3.0,3.0,-2.7295646259277606,,,inf
5266,코스모신소재,2013,-20.509993217199053,3.0,2.0,3.0,3.0,-1.211480701073464,-3.1521650574590048,-8.666977343632011,0.801612048646136
5267,코스모신소재,2014,-3.10701807803817,4.0,3.0,4.0,4.0,2.682664416041347,-8.79389715983944,-32.306739244377894,1.0328606647912562
5268,코스모신소재,2015,-43.34206698057541,3.0,2.0,4.0,4.0,2.619180850599334,-11.10457033138474,-50.79404156867341,0.9146091173723429
5269,코스모신소재,2016,-28.17278458484975,3.0,2.0,3.0,4.0,0.2444370489387726,0.6031159133491079,2.6961924202971286,1.14619751327317
5270,코스모신소재,2017,199.1368100069973,3.0,2.0,3.0,4.0,14.838077441389274,4.160271211251391,11.09450340848259,2.238078383682683
